h,k,l,Fo^2_raw,Fo^2_sigma_raw,asu_h,asu_k,asu_l,Resolution,xobs,yobs,zobs,frame,Fc^2,Fo^2_fcf,Fo^2_sigma_fcf,fcf_asu_count,Fo^2_scaled,Fo^2_sigma_scaled,SRES,absSRES,Miller,asu,hkl
0,7,-15,5908.02,3635.3,0,15,7,0.7194490009469079,463.2,217.8,0.8,1,11.63,17.63,7.85,12,4.763057024180215,2.930785813183154,-2.3430381520652768,2.3430381520652768,"(0, 7, -15)","(0, 15, 7)","(0, 7, -15)"
-2,13,-14,1417.9199999999996,1774.5400000000002,2,14,13,0.6199577767771367,496.2,295.1,1.5,2,2.35,2.3200000000000003,2.1550000000000002,16,1.1431298160340704,1.430637542135734,-0.8435890632118096,0.8435890632118096,"(-2, 13, -14)","(2, 14, 13)","(-2, 13, -14)"
-1,9,-12,9804.119999999999,5006.38,1,12,9,0.7921748963276238,444.3,263.0,1.6,2,7.49,10.495000000000001,5.105,22,7.9041002961915705,4.036153131627067,0.1025977664094813,0.1025977664094813,"(-1, 9, -12)","(1, 12, 9)","(-1, 9, -12)"
-2,10,-7,7981.680000000001,3884.3900000000003,2,10,7,0.9627855861858968,395.3,313.2,1.8,2,2.36,5.745,3.135,20,6.434845682438235,3.1316026476138177,1.3012013786433407,1.3012013786433407,"(-2, 10, -7)","(2, 10, 7)","(-2, 10, -7)"
0,3,-6,18405.0,7998.71,0,6,3,1.7752889029363337,332.6,239.5,1.8,2,20.97,17.875,7.63,10,14.838146202964252,6.448575301011257,-0.9508850421695717,0.9508850421695717,"(0, 3, -6)","(0, 6, 3)","(0, 3, -6)"
-5,18,-4,4007.8699999999994,2315.31,4,18,5,0.6233455494126856,420.5,431.1,2.0,2,0.02,1.36,1.66,29,3.2311524597921393,1.866607350458308,1.7203149119731609,1.7203149119731609,"(-5, 18, -4)","(4, 18, 5)","(-5, 18, -4)"
-2,-3,17,2248.2400000000002,2026.82,2,17,3,0.6852859436055226,31.8,346.0,2.1,2,1.62,3.035,2.2800000000000002,30,1.812535388174537,1.634026160667862,0.11782882845391132,0.11782882845391132,"(-2, -3, 17)","(2, 17, 3)","(-2, -3, 17)"
4,-16,3,5803.7,2827.3300000000004,3,16,4,0.7104313786511982,92.5,84.4,2.2,2,1.4,3.39,2.49,30,4.678954040648933,2.279398853791194,1.438517017412392,1.438517017412392,"(4, -16, 3)","(3, 16, 4)","(4, -16, 3)"
1,5,-18,566.64,1536.09,1,18,5,0.6365628259870125,480.8,171.4,2.4,2,0.82,1.9,1.8,26,0.45682625180373065,1.2383986960560367,-0.29326076436682225,0.29326076436682225,"(1, 5, -18)","(1, 18, 5)","(1, 5, -18)"
-4,14,-2,7791.14,3741.75,2,14,4,0.8103048151890242,368.5,399.3,2.4,2,3.84,6.295,3.4050000000000002,30,6.281231969995267,3.0166060067884537,0.8092644397384389,0.8092644397384389,"(-4, 14, -2)","(2, 14, 4)","(-4, 14, -2)"
