rank,t1_h,t1_k,t1_l,t1_hkl,t1_sres,display_align_peaks,display_normalize_max,display_offset_step,t1_mapped_h,t1_mapped_k,t1_mapped_l,t1_present,t1_n_points,t1_frame_min,t1_frame_max,t1_peak_frame_iobs,t1_peak_frame_icalc,t1_peak_iobs,t1_peak_icalc,t2_mapped_h,t2_mapped_k,t2_mapped_l,t2_present,t2_n_points,t2_frame_min,t2_frame_max,t2_peak_frame_iobs,t2_peak_frame_icalc,t2_peak_iobs,t2_peak_icalc,t3_mapped_h,t3_mapped_k,t3_mapped_l,t3_present,t3_n_points,t3_frame_min,t3_frame_max,t3_peak_frame_iobs,t3_peak_frame_icalc,t3_peak_iobs,t3_peak_icalc,t4_mapped_h,t4_mapped_k,t4_mapped_l,t4_present,t4_n_points,t4_frame_min,t4_frame_max,t4_peak_frame_iobs,t4_peak_frame_icalc,t4_peak_iobs,t4_peak_icalc
1,0,0,-1,"(0,0,-1)",-29.865680975353907,1,1,1.15,0,0,-1,1,89,1091,1179,1148,1136,277418.15625,147019.09375,0,0,-1,1,221,1023,1243,1127,1133,183883.640625,144019.359375,0,0,-1,1,53,1119,1171,1158,1145,276207.03125,79823.53125,0,0,-1,1,49,1111,1159,1135,1135,24874.875,22002.019531
2,0,-1,0,"(0,-1,0)",-29.51462905025485,1,1,1.15,0,-1,0,1,29,2965,2993,2993,2989,125454.820312,204193.046875,0,1,0,1,97,2929,3025,2993,2987,252273.125,145401.21875,0,-1,0,1,29,2991,3019,3005,3005,60764.683594,48054.75,0,-1,0,1,26,2984,3009,3004,2997,10411.561523,7640.689453
3,0,1,0,"(0,1,0)",-29.31911468802955,1,1,1.15,0,1,0,1,32,2962,2993,2991,2985,115386.34375,160082.765625,0,-1,0,1,100,2926,3025,2993,2984,257998.890625,139873.796875,0,1,0,1,29,2987,3015,3001,3001,99567.195312,67814.28125,0,1,0,1,26,2981,3006,2993,2993,9120.695312,10245.115234
4,0,0,1,"(0,0,1)",-28.371048248544096,1,1,1.15,0,0,1,1,89,1085,1173,1148,1129,628360.875,176833.421875,0,0,1,1,222,1016,1237,1117,1126,340421.90625,190827.734375,0,0,1,1,54,1112,1165,1125,1138,228394.640625,107726.6875,0,0,1,1,49,1105,1153,1128,1129,29093.193359,21189.013672
5,0,0,3,"(0,0,3)",-20.47289241651822,1,1,1.15,0,0,3,1,33,1107,1139,1134,1123,86953.421875,72742.890625,0,0,3,1,76,1083,1158,1120,1120,56847.46875,60676.539062,0,0,3,1,20,1123,1142,1126,1132,104255.070312,89730.921875,0,0,3,1,18,1114,1131,1122,1123,31793.53125,28954.160156
6,0,-3,0,"(0,-3,0)",-19.975701956400396,1,1,1.15,0,-3,0,1,17,2984,3000,2994,2992,752643.6875,168851.71875,0,3,0,1,41,2971,3011,2993,2991,133090.9375,114148.265625,0,-3,0,1,11,3003,3013,3008,3008,109545.804688,102475.53125,0,-3,0,1,10,2995,3004,3000,3000,10876.297852,12462.538086
7,0,0,-3,"(0,0,-3)",-19.775853148574694,1,1,1.15,0,0,-3,1,32,1126,1157,1148,1142,845842.625,161680.90625,0,0,-3,1,77,1101,1177,1139,1139,75783.71875,79213.703125,0,0,-3,1,20,1142,1161,1157,1151,138277.65625,63025.433594,0,0,-3,1,18,1133,1150,1141,1141,32811.398438,28699.814453
8,0,3,0,"(0,3,0)",-18.19664389703275,1,1,1.15,0,3,0,1,17,2974,2990,2982,2982,110764.132812,105040.351562,0,-3,0,1,41,2961,3001,2981,2981,101679.929688,121937.078125,0,3,0,1,11,2993,3003,2998,2998,152981.578125,138071.359375,0,3,0,1,10,2985,2994,2990,2990,8065.681152,8648.345703
9,0,0,11,"(0,0,11)",-17.399905067459667,1,1,1.15,0,0,11,1,14,1091,1104,1096,1097,2366.009033,2378.010986,0,0,11,1,22,1085,1106,1092,1095,4678.860352,2517.561279,0,0,11,1,8,1104,1111,1110,1107,5332.682617,3462.256836,0,0,11,1,10,1093,1102,1096,1098,2741.808105,1406.695679
10,0,0,-11,"(0,0,-11)",-16.840739517858093,1,1,1.15,0,0,-11,1,14,1160,1173,1169,1167,3881.448242,3479.421875,0,0,-11,1,22,1154,1175,1165,1164,3699.584961,4045.644287,0,0,-11,1,8,1173,1180,1173,1176,8687.848633,3196.250244,0,0,-11,1,10,1162,1171,1166,1167,2454.270508,1921.318359
11,0,11,0,"(0,11,0)",-16.041888016005007,1,1,1.15,0,11,0,1,7,2966,2972,2967,2969,5707.03418,5431.359863,0,-11,0,1,12,2962,2973,2967,2968,4690.969727,3811.122803,0,11,0,1,5,2983,2987,2987,2985,1848.887817,1468.194336,0,11,0,1,6,2974,2979,2975,2977,860.24353,747.233765
12,0,-11,0,"(0,-11,0)",-14.38621473582366,1,1,1.15,0,-11,0,1,8,3002,3009,3004,3005,4596.938965,4884.293945,0,11,0,1,12,2999,3010,3004,3004,4047.927246,4416.403809,0,-11,0,1,5,3019,3023,3020,3021,3017.216553,3416.481201,0,-11,0,1,6,3011,3016,3015,3013,848.449524,883.001526
13,1,0,1,"(1,0,1)",-10.653690838506147,1,1,1.15,1,0,1,1,34,177,210,200,193,675502.5625,153817.296875,-1,0,1,1,86,150,235,188,193,430455.84375,147198.90625,1,0,1,1,21,197,217,215,207,94943.640625,67706.640625,1,0,1,1,19,189,207,190,198,5167.687012,2859.404053
14,-1,0,-1,"(-1,0,-1)",-9.625247630453796,1,1,1.15,-1,0,-1,1,35,181,215,190,198,823228.5,173740.734375,1,0,-1,1,86,155,240,203,197,374593.21875,145560.9375,-1,0,-1,1,21,202,222,212,212,132888.109375,123842.679688,-1,0,-1,1,19,194,212,195,203,3251.800293,3140.835449
15,-1,-1,0,"(-1,-1,0)",-8.17328564963998,1,1,1.15,-1,-1,0,1,37,1363,1399,1379,1381,84414.734375,96239.484375,1,1,0,1,93,1336,1428,1382,1382,111047.710938,131358.375,-1,-1,0,1,23,1387,1409,1398,1398,137341.015625,111291.953125,-1,-1,0,1,21,1380,1400,1390,1390,81867.40625,60609.21875
16,1,1,0,"(1,1,0)",-7.995823817330105,1,1,1.15,1,1,0,1,37,1358,1394,1374,1376,84045.070312,98120.75,-1,-1,0,1,93,1331,1423,1375,1377,109508.085938,128277.28125,1,1,0,1,23,1382,1404,1393,1393,125381.625,103415.765625,1,1,0,1,21,1375,1395,1385,1385,77796.476562,55930.964844
17,0,1,1,"(0,1,1)",-7.090072327308299,1,1,1.15,0,1,1,1,35,2345,2379,2363,2362,111883.953125,120489.445312,0,-1,1,1,88,2318,2405,2361,2361,148676.609375,139604.984375,0,1,1,1,21,2367,2387,2376,2377,264922.875,187980.65625,0,1,1,1,20,2359,2378,2368,2368,18320.736328,17571.605469
18,0,-1,-1,"(0,-1,-1)",-6.941424647667095,1,1,1.15,0,-1,-1,1,35,2350,2384,2367,2367,128983.304688,129464.429688,0,1,-1,1,87,2323,2409,2366,2366,139194.234375,136866.734375,0,-1,-1,1,21,2372,2392,2382,2382,176673.109375,161882.234375,0,-1,-1,1,19,2364,2382,2374,2373,16860.625,19603.705078
19,0,0,6,"(0,0,6)",-6.686764917467807,1,1,1.15,0,0,6,1,18,1105,1122,1111,1114,37302.039062,40533.042969,0,0,6,1,39,1092,1130,1115,1111,66807.984375,32330.064453,0,0,6,1,11,1118,1128,1123,1123,67358.078125,56670.441406,0,0,6,1,12,1108,1119,1112,1113,14925.482422,10753.121094
20,0,0,-6,"(0,0,-6)",-6.426092378096531,1,1,1.15,0,0,-6,1,17,1143,1159,1149,1151,63638.558594,50693.460938,0,0,-6,1,39,1130,1168,1144,1149,57526.800781,31018.460938,0,0,-6,1,11,1156,1166,1160,1160,164195.078125,120153.835938,0,0,-6,1,12,1145,1156,1151,1151,11308.919922,9990.265625
